N  Time  average_ob  max_ob  min_ob 
3170 0.000094 20997.000000 23338 19447 
3180 0.000094 20899.000000 23812 19026 
3190 0.000093 20777.000000 23754 18566 
3200 0.000092 20965.000000 23903 18070 
3210 0.000092 22676.000000 28490 19001 
3220 0.000095 22156.000000 24288 19543 
3230 0.000097 20992.000000 26638 18647 
3240 0.000093 21506.000000 25150 19020 
3250 0.000094 20881.000000 21779 19810 
3260 0.000094 22193.000000 23123 20911 
3270 0.000095 21273.000000 25538 19002 
3280 0.000095 22353.000000 23615 20196 
3290 0.000095 22155.000000 24138 19154 
3300 0.000097 22220.000000 27634 19406 
3310 0.000095 22684.000000 26432 20175 
3320 0.000098 21392.000000 22942 19787 
3330 0.000099 22440.000000 26896 19725 
3340 0.000098 21607.000000 24806 18661 
3350 0.000096 21646.000000 24724 19247 
3360 0.000098 23704.000000 28136 20128 
3370 0.000097 21984.000000 24302 19092 
3380 0.000099 22528.000000 26981 20102 
3390 0.000098 22671.000000 25921 19993 
3400 0.000098 22954.000000 30318 18954 
3410 0.000101 22632.000000 25392 21004 
3420 0.000100 23115.000000 26884 20974 
3430 0.000101 23161.000000 26875 19489 
3440 0.000102 24096.000000 27217 20936 
3450 0.000100 24287.000000 26478 20791 
3460 0.000102 23630.000000 28820 20629 
3470 0.000101 23080.000000 25003 20192 
3480 0.000101 23279.000000 26793 21073 
3490 0.000102 23834.000000 29260 21372 
3500 0.000103 23582.000000 25179 21197 
3510 0.000105 22641.000000 26733 20241 
3520 0.000103 23719.000000 26875 20573 
3530 0.000105 24543.000000 29762 20972 
3540 0.000103 23996.000000 27026 21812 
3550 0.000105 24691.000000 27447 22416 
3560 0.000104 24663.000000 32059 20643 
3570 0.000105 25176.000000 28118 21747 
3580 0.000105 23986.000000 26278 20970 
3590 0.000105 24536.000000 26694 22073 
3600 0.000106 24202.000000 28551 20435 
3610 0.000105 24308.000000 29818 22157 
3620 0.000105 24499.000000 32251 20744 
3630 0.000108 25266.000000 29411 21092 
3640 0.000109 24034.000000 27863 21018 
3650 0.000106 23553.000000 27515 21068 
3660 0.000108 24109.000000 27139 21708 
3670 0.000108 25124.000000 27316 22881 
3680 0.000107 26132.000000 31766 23723 
3690 0.000109 24941.000000 26980 22487 
3700 0.000107 24483.000000 28397 21924 
3710 0.000108 24349.000000 25748 22320 
3720 0.000109 24950.000000 26974 22872 
3730 0.000112 25141.000000 30237 21940 
3740 0.000109 25415.000000 29990 22744 
3750 0.000110 25050.000000 27802 22814 
3760 0.000110 25278.000000 27491 23111 
3770 0.000112 25424.000000 28863 21695 
3780 0.000111 25647.000000 29617 22374 
3790 0.000115 26970.000000 31095 23411 
3800 0.000111 25178.000000 30368 22316 
3810 0.000113 25367.000000 31222 22489 
3820 0.000115 27007.000000 33458 24226 
3830 0.000113 25629.000000 29554 22390 
3840 0.000112 27057.000000 33770 23214 
3850 0.000114 28421.000000 32843 24333 
3860 0.000113 25855.000000 28857 23469 
3870 0.000115 26934.000000 30985 23548 
3880 0.000115 25752.000000 30020 22855 
3890 0.000115 27124.000000 31586 24426 
3900 0.000116 25332.000000 30474 23097 
3910 0.000117 28754.000000 33124 24724 
3920 0.000115 28390.000000 32711 23682 
3930 0.000115 27081.000000 32499 23006 
3940 0.000118 27605.000000 31119 24946 
3950 0.000116 28256.000000 32391 24105 
3960 0.000117 28155.000000 31159 25196 
3970 0.000116 26453.000000 31520 21400 
3980 0.000119 27985.000000 33712 24083 
3990 0.000117 27881.000000 30946 24919 
4000 0.000119 27640.000000 31202 24829 
4010 0.000119 27435.000000 31704 23986 
4020 0.000121 27517.000000 32866 25090 
4030 0.000120 27866.000000 32158 24807 
4040 0.000120 28036.000000 30678 25618 
4050 0.000120 27805.000000 30102 25710 
4060 0.000122 30211.000000 35177 24679 
4070 0.000121 28262.000000 30912 26592 
4080 0.000121 29111.000000 33069 25368 
4090 0.000122 28976.000000 32920 24782 
4100 0.000125 26820.000000 29540 23423 
4110 0.000121 27547.000000 29654 24582 
4120 0.000122 29750.000000 34374 26824 
4130 0.000121 28556.000000 32703 24798 
4140 0.000124 29214.000000 36617 25662 
4150 0.000124 31370.000000 41085 27490 
4160 0.000124 28763.000000 33001 25035 
4170 0.000127 28426.000000 31991 26217 
4180 0.000125 29598.000000 33867 26174 
4190 0.000126 29196.000000 37410 26171 
4200 0.000124 29848.000000 34708 24977 
4210 0.000127 29054.000000 34014 26735 
4220 0.000125 28921.000000 33151 26565 
4230 0.000126 29336.000000 35483 26638 
4240 0.000126 28982.000000 32008 26039 
4250 0.000128 29818.000000 34021 27298 
4260 0.000126 29472.000000 34009 25588 
4270 0.000128 31043.000000 34315 28675 
4280 0.000129 29519.000000 30949 26780 
4290 0.000128 28736.000000 32894 23433 
4300 0.000129 31753.000000 36063 28924 
4310 0.000128 28869.000000 31490 26265 
4320 0.000131 29984.000000 33594 26734 
4330 0.000130 30033.000000 33099 27254 
4340 0.000129 30628.000000 34962 26824 
4350 0.000132 29918.000000 35202 27391 
4360 0.000131 30428.000000 33583 26583 
4370 0.000130 30153.000000 34248 27466 
4380 0.000130 30619.000000 35579 28251 
4390 0.000131 29740.000000 32563 27149 
4400 0.000134 32083.000000 36433 28458 
4410 0.000132 29675.000000 34322 26130 
4420 0.000131 31497.000000 37395 26867 
4430 0.000137 30897.000000 35983 27498 
4440 0.000132 31045.000000 33097 29310 
4450 0.000134 31016.000000 34729 27572 
4460 0.000133 30826.000000 33594 27031 
4470 0.000137 29997.000000 34230 26887 
4480 0.000135 30408.000000 35757 26767 
4490 0.000136 31633.000000 34464 28578 
4500 0.000136 29699.000000 31941 27896 
4510 0.000136 33202.000000 39801 29108 
4520 0.000135 30487.000000 33980 27830 
4530 0.000137 32764.000000 44145 28516 
4540 0.000137 31140.000000 35716 28287 
4550 0.000135 30897.000000 36600 28402 
4560 0.000138 30799.000000 35160 27382 
4570 0.000139 32439.000000 40103 28752 
4580 0.000139 31840.000000 36199 27921 
4590 0.000137 31419.000000 35831 29308 
4600 0.000140 32273.000000 38865 28980 
4610 0.000139 32460.000000 38876 29384 
4620 0.000138 32111.000000 33388 30166 
4630 0.000139 34298.000000 44055 26582 
4640 0.000141 32511.000000 38565 29176 
